,序号,类别代号,产品分类,产品名称,判定结果,不合格项目分类,不合格项目,不合格规范列,检测数值,法规限制,规格型号,商标,生产日期,生产企业名称,生产企业地址,生产省份代码,生产省份,抽样单位名称,抽样单位代码,抽样单位地址,通报时间,通报文号,通报单位,措施,来源链接,来源链接.1,检验项目,抽检代码,抽检级别,检验机构,标准,备注
13,14,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,46.4μg/kg,≤20μg/kg,/,/,2022-09-19,/,/,4,河南,郑州航空港区龙王办豫林聚福餐馆,4,郑州航空港区龙王办龙安社区商业步行街西侧,2023-02-02,2023年第5期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求经济技术开发区、郑州航空港经济综合实验区、中牟县、管城回族区、郑东新区市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6907526.jhtml,,3,市抽,河南宜测科技有限公司,GB 2761-2017,
14,15,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.6μg/kg,≤20μg/kg,/,/,2022-09-17,/,/,4,河南,郑州经济技术开发区满芳庭羊肉汤馆,4,郑州经济技术开发区第三大街与经北二路110号1层11号,2023-02-02,2023年第5期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求经济技术开发区、郑州航空港经济综合实验区、中牟县、管城回族区、郑东新区市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6907526.jhtml,,3,市抽,河南宜测科技有限公司,GB 2761-2017,
15,16,31,餐饮环节产品-->其他餐饮环节产品,水煮花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,44.7μg/kg,≤20μg/kg,/,/,2022-09-13,/,/,4,河南,河南豫品餐饮管理有限公司,4,河南自贸试验区郑州片区（经开）广场南路与第八大街建海国际中心商业2层,2023-02-02,2023年第5期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求经济技术开发区、郑州航空港经济综合实验区、中牟县、管城回族区、郑东新区市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6907526.jhtml,,3,市抽,河南宜测科技有限公司,GB 2761-2017,
16,17,6,调味品-->复合调味品,花生酱,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,37.6μg/kg,≤20μg/kg,220g/瓶,图形+秦百年,2021-10-27,三原全利香食品有限公司,三原县城关镇解李村,8,陕西,广州市花都区新雅奇益商行,1,"广州市花都区雅瑶镇新广花一级公路西侧A2-A4,A6,B1-B9层雅瑶综合批发市场A6座8号一层铺",2023-02-02,2023年第3期,广州市场监管局,广州市市场监督管理局已要求相关区市场监管部门及时对不合格食品及其生产经营者进行调查处理，责令企业查清产品流向，召回不合格产品，并分析原因进行整改；要求经营单位对不合格食品立即采取下架等措施，控制风险，并依法予以查处。,,https://www.gz.gov.cn/zwgk/zdly/spypaq/zlxx/spzlxx/content/post_8785120.html,,3,市抽,广州海关技术中心,GB 2761-2017,
17,18,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素 B₁,黄曲霉毒素B₁,112μg/kg,≤20μg/kg,散装,/,2022-09-01,/,/,0,不详,惠州市惠城区捷新粮油店,1,惠州市下角菱湖边青年桥侧第一栋一层C1C2商场,2023-01-20,2023年第4期,惠州市场监管局,,,http://hzamr.huizhou.gov.cn/zwgk/bmwj/tzgg/content/post_4889874.html,,3,市抽,广东省惠州市质量计量监督检测所,GB 2761-2017,
18,19,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,53.6μg/kg,≤20μg/kg,/,/,2022-09-21,/,/,4,河南,郑州市中原区溢香苑瓦罐工人路餐饮店,4,河南省郑州市中原区工人路351号4号楼1-2层北5号商铺,2023-01-19,2023年第4期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求二七区、登封市、新密市、新郑市市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6890149.jhtml,,3,市抽,郑州谱尼测试技术有限公司,GB 2761-2017,
19,20,31,餐饮环节产品-->其他餐饮环节产品,水煮花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,39.5μg/kg,≤20μg/kg,/,/,2022-09-06,/,/,4,河南,新密市李记御品扣碗饭店,4,河南省郑州市新密市新华路办事处五里店村洧水路349号,2023-01-19,2023年第4期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求二七区、登封市、新密市、新郑市市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6890149.jhtml,,3,市抽,郑州谱尼测试技术有限公司,GB 2761-2017,
20,21,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,"生物毒素,生物毒素","初检结果：黄曲霉毒素B1,复检结果：黄曲霉毒素B1","黄曲霉毒素B₁,黄曲霉毒素B₁",304μg/kg|90.0μg/kg,≤20μg/kg|≤20μg/kg,/,/,2022-09-06,/,/,4,河南,新郑市格律诗餐饮店,4,河南省郑州市新郑市薛店镇汇港铭都小区商业12-106,2023-01-19,2023年第4期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求二七区、登封市、新密市、新郑市市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6890149.jhtml,,3,市抽,复检机构：河南省产品质量监督检验院|初检机构：郑州谱尼测试技术有限公司,GB 2761-2017,
21,22,31,餐饮环节产品-->其他餐饮环节产品,水煮花生,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,122μg/kg,≤20μg/kg,/,/,2022-09-05,/,/,4,河南,新郑市薛店镇志强餐馆,4,河南省郑州市新郑市薛店镇友谊路中段,2023-01-19,2023年第4期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求二七区、登封市、新密市、新郑市市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6890149.jhtml,,3,市抽,郑州谱尼测试技术有限公司,GB 2761-2017,
22,23,18,炒货及坚果制品-->坚果籽类,花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,352μg/kg,≤20μg/kg,/,/,2022-10-16,/,/,0,不详,垫江县誉哆哆副食经营部,10,重庆市垫江县桂阳街道牡丹大道88号37幢1-15、16号门市,2023-01-11,2023年第1号,重庆市场监管局,所在地市场监督管理部门已按《中华人民共和国食品安全法》的要求，对上述抽检中发现的不合格产品，依法启动查处工作，同时已采取风险控制措施，查清产品流向，召回、下架不合格产品，分析原因并进行整改。,http://news.foodmate.net/2023/01/651040.html,https://scjgj.cq.gov.cn/zfxxgk_225/fdzdgknr/jdcj/spaq_1/jcjgxx/202301/t20230111_11490302.html,,2,省抽,广州检验检测认证集团有限公司,GB 2761-2017,
23,24,18,炒货及坚果制品-->坚果籽类制品,脱油花生(五香味),不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,33.0μg/kg,20μg/kg,散装称重,花生姑娘及图形商标,,河南财茂食品有限公司,河南省濮阳市濮阳县庆祖镇食品加工专业园区,4,河南,海陵区周末食光百货店,3,江苏省泰州市海陵区城中街道海陵北路192号-11、192号-12、192号-16,2023-01-03,2022年第十七期,泰州市场监管局,,,http://scjgj.taizhou.gov.cn/art/2023/1/3/art_52119_3442746.html,,3,市抽,,GB 2761-2017,
24,25,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,27.3μg/kg,≤20μg/kg,/,/,2022-07-08,泰安市岱岳区夏张镇新芹食用油加工部,山东省泰安市岱岳区夏张镇杨家坡村,2,山东,泰安市岱岳区夏张镇新芹食用油加工部,2,山东省泰安市岱岳区夏张镇杨家坡村,2022-12-30,2022年第18期,泰安市场监管局,,,http://scjgj.taian.gov.cn/art/2022/12/30/art_48383_10296055.html,,3,市抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
25,26,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,44.7μg/kg,≤20μg/kg,/,/,2022-07-21,泰安市岱岳区申东侯家油坊店,山东省泰安市岱岳区大汶口镇申村东村,2,山东,泰安市岱岳区申东侯家油坊店,2,山东省泰安市岱岳区大汶口镇申村东村,2022-12-30,2022年第18期,泰安市场监管局,,,http://scjgj.taian.gov.cn/art/2022/12/30/art_48383_10296055.html,,3,市抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
26,27,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,51.9μg/kg,≤20μg/kg,/,/,2022-05-10,泰安市泰山区香飘源油坊,山东省泰安市泰山区省庄镇南河东村,2,山东,泰安市泰山区香飘源油坊,2,山东省泰安市泰山区省庄镇南河东村,2022-12-30,2022年第18期,泰安市场监管局,,,http://scjgj.taian.gov.cn/art/2022/12/30/art_48383_10296055.html,,3,市抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
27,28,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,141μg/kg,≤20μg/kg,计量称重,/,2022-06-26,泰安市泰山景区黄前镇顺心油坊,山东省泰安市岱岳区黄前镇大地村,2,山东,泰安市泰山景区黄前镇顺心油坊,2,山东省泰安市岱岳区黄前镇大地村,2022-12-30,2022年第18期,泰安市场监管局,,,http://scjgj.taian.gov.cn/art/2022/12/30/art_48383_10296055.html,,3,市抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
28,29,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,169μg/kg,≤20μg/kg,/,/,2022-09-07,/,/,0,不详,郑州市二七区永军粮油干调商店,4,郑州市新郑市新烟办人民路中段大旺商农贸市场B23,2022-12-30,2022年第20期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求中原区、二七区、登封市、新密市、管城区、新郑市市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6842941.jhtml,,3,市抽,郑州谱尼测试技术有限公司,GB 2761-2017,
29,30,18,炒货及坚果制品-->坚果籽类,红皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,200μg/kg,≤20μg/kg,/,/,2022-10-02,/,/,0,不详,文山市振杰粮油酱菜经营部,13,云南省文山壮族苗族自治州文山市开化街道永通社区恒丰农贸市场商铺E5排1-2号,2022-12-30,2022年第50期,云南市场监管局,对抽检中发现的不合格产品，企业所在地市场监管部门已依法开展核查处置，督促企业履行法定义务，采取下架召回不合格产品等措施及时控制风险；查明生产经营不合格产品的批次、数量和原因，对违法行为依法处理；核查处置工作完成后及时向社会公开。,http://news.foodmate.net/2022/12/650257.html,http://amr.yn.gov.cn/info/1030/28823.htm?ad_check=1,,2,省抽,云南云测质量检验有限公司,GB 2761-2017,
30,31,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,27.3μg/kg,≤20μg/kg,散装称重,/,2022-11-03,定安定城广昌榨油厂,海南省定安县定城镇人民南路97号,17,海南,定安定城广昌榨油厂,17,海南省定安县定城镇人民南路97号,2022-12-30,2022年第36期,海南市场监管局,对抽检中发现的不合格产品，当地市场监管部门已经采取措施依法予以查处，并责令食用农产品集中交易市场开办者查清进货渠道、产地等信息并向相关部门报告，食品生产企业查清产品流向、召回不合格产品、分析原因进行整改，食用农产品销售者对不合格产品立即采取停止销售，食品经营环节有关单位立即采取下架等措施防控风险。不合格产品的风险防控措施以及核查处置结果将在相关市县市场监管部门网站予以公布。,http://news.foodmate.net/2022/12/650241.html,https://amr.hainan.gov.cn/zw/spcjxx/202212/t20221230_3337878.html,,2,省抽,广州检验检测认证集团有限公司,GB 2761-2017,
31,32,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,37.8μg/kg,≤20μg/kg,散装称重,/,2022-11-01,定安定城时兴榨油厂,海南省定安县定城镇经贸路95号,17,海南,定安定城时兴榨油厂,17,海南省定安县定城镇经贸路95号,2022-12-30,2022年第36期,海南市场监管局,对抽检中发现的不合格产品，当地市场监管部门已经采取措施依法予以查处，并责令食用农产品集中交易市场开办者查清进货渠道、产地等信息并向相关部门报告，食品生产企业查清产品流向、召回不合格产品、分析原因进行整改，食用农产品销售者对不合格产品立即采取停止销售，食品经营环节有关单位立即采取下架等措施防控风险。不合格产品的风险防控措施以及核查处置结果将在相关市县市场监管部门网站予以公布。,http://news.foodmate.net/2022/12/650241.html,https://amr.hainan.gov.cn/zw/spcjxx/202212/t20221230_3337878.html,,2,省抽,广州检验检测认证集团有限公司,GB 2761-2017,
32,33,18,炒货及坚果制品-->坚果籽类制品,南乳花生,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,40μg/kg,≤20μg/kg,180克/袋,随园,2022-09-06,菏泽随园食品股份有限公司,菏泽市沙土镇,2,山东,商洛学院后勤服务公司,8,商洛市商州区刘湾街道办事处静泉社区商洛学院丹江校区内,2022-12-29,2022年第26期,商洛市场监管局,对抽检中发现的不合格产品，已由生产经营者所在地的市场监督管理部门立即组织开展处置工作，采取责令整改等措施控制风险；对违法违规行为，依法处理。,,http://scjg.shangluo.gov.cn/post/63c8a09c8d4e833333b68efa/5de726312f83e94a143dbc71,,3,市抽,商洛市食品安全检验检测中心,GB 2761-2017,
33,34,18,炒货及坚果制品-->坚果籽类,花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,66.3μg/kg,≤20μg/kg,/,/,2022-10-05,/,/,0,不详,垫江县超溜食品经营部,10,重庆市垫江县桂阳街道天宝路39号盛世年华7号、8号门市,2022-12-29,2022年第50号,重庆市场监管局,所在地市场监督管理部门已按《中华人民共和国食品安全法》的要求，对上述抽检中发现的不合格产品，依法启动查处工作，同时已采取风险控制措施，查清产品流向，召回、下架不合格产品，分析原因并进行整改。,http://news.foodmate.net/2022/12/650160.html,http://scjgj.cq.gov.cn/zfxxgk_225/fdzdgknr/jdcj/spaq_1/jcjgxx/202212/t20221229_11434825.html,,2,省抽,广州检验检测认证集团有限公司,GB 2761-2017,
34,35,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,73,≤20μg/kg,/,/,2022-07-01,桂平市石咀镇泰兴油房,广西桂平市石咀镇南街林家贤屋,15,广西,桂平市石咀镇泰兴油房,15,广西桂平市石咀镇南街林家贤屋,2022-12-28,2022年第11期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t14959667.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
35,36,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,28.5,≤20μg/kg,/,/,2022-07-08,桂平市罗秀镇冲天门油房,广西桂平市罗秀镇新垌村,15,广西,桂平市罗秀镇冲天门油房,15,广西桂平市罗秀镇新垌村,2022-12-28,2022年第11期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t14959667.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
36,37,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,33.3,≤20μg/kg,/,/,2022-07-10,桂平市何延模粮油店,广西贵港市桂平市西山镇长安村岭口屯路口,15,广西,桂平市何延模粮油店,15,广西贵港市桂平市西山镇长安村岭口屯路口,2022-12-28,2022年第11期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t14959667.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
37,38,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,58.7,≤20μg/kg,/,/,2022-06-30,桂平市油麻镇四季常旺油坊,广西省桂平市油麻镇勒竹村13队,15,广西,桂平市油麻镇四季常旺油坊,15,广西省桂平市油麻镇勒竹村13队,2022-12-28,2022年第11期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t14959667.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
38,39,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,28.7,≤20μg/kg,/,/,2022-06-07,桂平市垌心乡班海燕油房,广西贵港市桂平市垌心乡派出所斜对面,15,广西,桂平市垌心乡班海燕油房,15,广西贵港市桂平市垌心乡派出所斜对面,2022-12-28,2022年第11期,贵港市场监管局,,,http://scjg.gxgg.gov.cn/cjxxgk/t14959667.shtml,,3,市抽,广西民生中检联检测有限公司,GB 2761-2017,
